onset	duration	Urgency	Tears	Anger	Eyebrows	Throat	trial
1	5	67.5	0.0	0.0	0.0	0.0	clip_1
26	5	0.0	0.0	0.0	0.0	0.0	clip_2
51	6	0.0	0.0	0.0	0.0	0.0	clip_3
65	6	0.0	0.0	0.0	0.0	0.0	clip_4
99	9	0.0	0.0	0.0	0.0	0.0	clip_5
132	8	0.0	0.0	0.0	0.0	0.0	clip_6
210	8	72.5	72.5	0.0	0.0	0.0	clip_7
240	9	0.0	0.0	0.0	0.0	0.0	clip_8
263	5	50.0	0.0	0.0	0.0	0.0	clip_9
296	9	0.0	0.0	0.0	0.0	0.0	clip_10
328	6	0.0	0.0	0.0	0.0	0.0	clip_11
376	8	0.0	0.0	0.0	0.0	0.0	clip_12
393	11	0.0	0.0	0.0	0.0	0.0	clip_13
422	9	50.0	50.0	0.0	0.0	0.0	clip_14
466	5	0.0	0.0	0.0	0.0	0.0	clip_15
535	8	50.0	0.0	0.0	0.0	0.0	clip_16
551	8	62.5	0.0	0.0	0.0	0.0	clip_17
574	6	0.0	0.0	0.0	0.0	0.0	clip_18
599	7	0.0	0.0	0.0	55.0	0.0	clip_19
641	8	0.0	0.0	0.0	0.0	0.0	clip_20
