onset	duration	Urgency	Tears	Anger	Eyebrows	Throat	trial
9	4	50.0	50.0	0.0	0.0	0.0	clip_1
37	8	0.0	0.0	0.0	0.0	0.0	clip_2
58	4	50.0	50.0	0.0	0.0	0.0	clip_3
80	4	50.0	0.0	0.0	0.0	0.0	clip_4
104	10	50.0	0.0	0.0	0.0	0.0	clip_5
134	7	50.0	0.0	0.0	0.0	0.0	clip_6
155	5	33.5	0.0	0.0	0.0	0.0	clip_7
188	6	0.0	0.0	0.0	0.0	0.0	clip_8
209	8	71.5	0.0	0.0	0.0	0.0	clip_9
237	8	32.5	0.0	0.0	0.0	0.0	clip_10
279	9	0.0	0.0	0.0	0.0	0.0	clip_11
307	5	0.0	0.0	0.0	0.0	0.0	clip_12
358	6	0.0	0.0	0.0	0.0	0.0	clip_13
374	9	69.5	0.0	0.0	0.0	0.0	clip_14
395	9	76.0	76.0	0.0	0.0	0.0	clip_15
432	8	50.0	0.0	0.0	0.0	0.0	clip_16
488	5	50.0	50.0	0.0	0.0	0.0	clip_17
512	8	69.0	0.0	0.0	0.0	0.0	clip_18
535	5	0.0	0.0	0.0	0.0	0.0	clip_19
576	6	50.0	0.0	0.0	0.0	0.0	clip_20
