onset	duration	Smile	Calm	Predictable	Repeat	Oppose	trial
2	6	61.0	74.0	32.5	49.0	16.0	clip_1
23	5	26.0	52.5	66.5	32.5	27.5	clip_2
66	6	31.0	56.0	69.5	26.5	54.0	clip_3
85	7	32.0	55.5	66.0	30.0	48.5	clip_4
106	6	28.0	60.5	72.5	34.5	56.0	clip_5
124	6	89.5	93.0	65.0	85.5	14.0	clip_6
148	6	63.5	63.5	69.5	58.5	63.0	clip_7
170	10	66.5	84.5	31.5	59.5	14.0	clip_8
195	10	14.0	40.0	40.0	52.0	60.5	clip_9
238	8	20.5	31.0	18.5	62.0	67.5	clip_10
264	8	0.0	20.0	31.5	63.0	57.0	clip_11
294	9	0.0	4.5	61.0	71.0	55.5	clip_12
335	8	3.0	5.5	75.0	51.0	70.0	clip_13
359	5	32.0	28.5	48.0	41.0	47.0	clip_14
395	6	18.5	30.5	51.0	30.5	49.5	clip_15
