onset	duration	Smile	Calm	Predictable	Repeat	Oppose	trial
16	5	61.0	79.5	55.5	70.0	32.0	clip_1
45	6	60.0	96.0	63.5	71.5	0.0	clip_2
80	6	15.0	56.0	44.0	41.0	85.5	clip_3
110	7	43.5	72.5	41.5	43.0	54.5	clip_4
140	6	36.0	65.5	48.0	48.0	53.0	clip_5
173	7	38.5	56.0	58.0	42.5	77.0	clip_6
193	6	10.5	10.5	54.0	13.0	13.0	clip_7
225	5	48.5	37.0	63.0	38.5	61.0	clip_8
243	5	60.5	74.5	51.0	55.0	34.5	clip_9
250	8	69.0	75.5	63.0	63.0	17.0	clip_10
270	4	68.0	68.0	43.5	64.5	20.5	clip_11
310	6	44.5	49.5	44.0	70.0	42.0	clip_12
328	10	53.0	70.5	62.5	59.0	40.0	clip_13
360	6	50.0	62.5	56.0	65.5	33.0	clip_14
397	7	57.5	62.5	52.5	69.0	38.0	clip_15
440	5	62.0	61.0	42.0	67.5	37.5	clip_16
452	8	37.5	60.0	67.5	69.5	46.5	clip_17
478	6	43.0	60.5	30.0	50.5	59.5	clip_18
