onset	duration	Smile	Calm	Predictable	Repeat	Oppose	trial
19	5	30.0	38.0	38.0	46.0	55.0	clip_1
60	6	61.0	66.0	66.0	59.5	26.5	clip_2
95	5	41.0	58.5	64.0	57.0	62.5	clip_3
131	5	41.5	84.0	71.0	56.0	28.5	clip_4
147	6	41.5	87.5	63.0	57.0	26.0	clip_5
176	6	69.5	80.5	63.0	71.0	15.0	clip_6
210	5	33.0	68.0	75.0	57.5	83.0	clip_7
233	5	50.0	72.5	72.5	60.0	51.5	clip_8
255	7	56.0	71.5	56.5	64.0	41.0	clip_9
286	6	35.0	49.5	43.5	55.0	41.0	clip_10
343	5	44.5	60.0	63.5	63.5	17.0	clip_11
385	8	28.5	56.5	37.5	53.5	16.5	clip_12
412	8	0.0	16.5	25.5	38.5	89.0	clip_13
465	7	31.0	45.5	57.0	57.0	14.5	clip_14
518	6	46.0	61.5	67.5	61.5	12.5	clip_15
555	5	54.5	57.5	45.5	58.0	7.0	clip_16
594	7	64.5	64.5	41.0	69.0	2.5	clip_17
611	7	100.0	69.0	53.5	100.0	0.5	clip_18
633	7	13.0	3.0	54.0	33.0	72.5	clip_19
666	4	31.0	19.5	51.0	40.0	96.0	clip_20
701	9	29.5	41.0	54.0	33.5	37.0	clip_21
740	8	40.0	45.0	47.5	39.5	51.5	clip_22
778	9	8.5	15.5	41.0	44.0	84.5	clip_23
799	7	11.5	17.0	43.0	49.5	92.0	clip_24
839	5	15.5	30.5	58.5	43.0	81.5	clip_25
894	6	17.0	17.5	59.0	60.0	94.5	clip_26
962	7	0.0	0.0	62.0	47.0	94.5	clip_27
1002	8	0.0	0.0	51.5	70.0	100.0	clip_28
1022	5	0.0	0.0	56.0	58.5	100.0	clip_29
