onset	duration	Smile	Calm	Predictable	Repeat	Oppose	trial
3	7	16.5	39.5	34.0	38.0	76.5	clip_1
44	7	29.0	63.5	31.0	75.0	14.0	clip_2
76	5	25.5	76.5	26.0	79.5	19.0	clip_3
95	8	23.0	46.5	33.5	84.0	17.0	clip_4
139	8	21.5	64.0	42.0	87.5	17.5	clip_5
193	9	33.5	38.5	42.0	94.0	23.5	clip_6
230	7	31.0	21.0	33.0	90.5	10.0	clip_7
270	10	23.5	23.5	38.5	90.0	18.5	clip_8
316	9	55.5	63.0	39.5	83.0	20.0	clip_9
360	8	25.5	35.5	15.0	94.5	8.5	clip_10
420	10	70.0	41.0	31.5	93.5	10.0	clip_11
466	8	57.0	69.0	56.0	95.0	6.0	clip_12
493	8	58.0	48.0	35.0	95.0	7.0	clip_13
525	9	63.5	33.0	28.5	95.0	8.0	clip_14
559	5	44.5	67.0	55.0	87.5	6.5	clip_15
576	8	29.5	36.0	26.0	93.5	8.5	clip_16
590	4	34.0	40.0	36.0	94.0	6.0	clip_17
628	8	26.5	33.5	33.5	89.0	6.5	clip_18
653	5	50.0	42.5	33.5	90.5	12.0	clip_19
670	6	30.5	39.0	38.0	95.5	7.0	clip_20
689	3	62.0	30.5	29.5	100.0	2.0	clip_21
721	6	33.0	37.5	37.5	90.5	10.5	clip_22
737	5	39.5	27.5	39.0	94.0	11.5	clip_23
766	8	20.5	35.5	13.5	85.5	3.0	clip_24
