onset	duration	Attention	Standards	Care	Alert	Urgency	trial
16	5	50.0	50.0	10.5	23.5	12.5	clip_1
45	6	50.0	50.0	10.0	22.0	11.5	clip_2
80	6	50.0	50.0	11.5	20.5	9.0	clip_3
110	7	50.0	50.0	10.0	20.5	9.5	clip_4
140	6	50.0	50.0	12.5	21.0	8.5	clip_5
173	7	50.0	50.0	12.0	21.0	10.5	clip_6
193	6	50.0	50.0	23.0	23.0	25.5	clip_7
225	5	50.0	50.0	12.0	22.5	31.5	clip_8
243	5	50.0	49.5	11.0	20.5	12.0	clip_9
250	8	50.0	50.0	12.5	12.5	12.5	clip_10
270	4	50.0	50.0	12.0	18.5	11.5	clip_11
310	6	50.0	50.0	11.0	19.5	9.5	clip_12
328	10	50.0	50.0	12.0	21.0	35.0	clip_13
360	6	50.0	50.0	12.5	22.0	22.0	clip_14
397	7	50.0	50.0	12.5	21.0	9.5	clip_15
440	5	50.0	50.0	12.0	21.0	30.5	clip_16
452	8	50.0	50.0	10.5	23.0	8.5	clip_17
478	6	50.0	50.0	12.5	22.5	9.5	clip_18
