onset	duration	Fear	Guilt	Oppose	Calm	Agent	trial
3	7	100.0	0.0	100.0	0.0	50.0	clip_1
44	7	0.0	0.0	0.0	100.0	100.0	clip_2
76	5	0.0	0.0	0.0	100.0	52.5	clip_3
95	8	65.0	0.0	70.0	43.0	100.0	clip_4
139	8	34.5	0.0	37.5	61.5	54.5	clip_5
193	9	0.0	0.0	0.0	100.0	50.0	clip_6
230	7	7.0	0.0	4.5	96.0	49.0	clip_7
270	10	42.5	0.0	64.5	28.5	100.0	clip_8
316	9	31.0	1.5	60.0	50.5	51.5	clip_9
360	8	0.0	0.0	0.0	92.0	51.0	clip_10
420	10	64.0	0.0	62.5	26.5	53.5	clip_11
466	8	0.0	0.0	0.0	100.0	49.0	clip_12
493	8	0.0	0.0	0.0	96.5	50.5	clip_13
525	9	0.0	0.0	0.0	96.5	50.5	clip_14
559	5	0.0	0.0	4.5	97.5	51.5	clip_15
576	8	78.5	0.0	69.5	24.0	100.0	clip_16
590	4	55.0	0.0	69.5	31.5	54.5	clip_17
628	8	53.5	42.0	77.0	25.0	51.0	clip_18
653	5	53.0	0.0	63.0	41.0	53.5	clip_19
670	6	28.5	0.0	0.0	84.0	51.0	clip_20
689	3	71.5	13.0	33.0	31.5	100.0	clip_21
721	6	7.5	34.5	79.5	31.0	50.0	clip_22
737	5	96.0	0.0	98.0	6.5	49.0	clip_23
766	8	69.5	67.5	92.5	9.0	53.0	clip_24
