onset	duration	Fear	Guilt	Oppose	Calm	Agent	trial
30	6	0.0	0.0	0.0	81.5	100.0	clip_1
50	7	0.0	0.0	0.0	100.0	100.0	clip_2
71	5	0.0	0.0	0.0	100.0	100.0	clip_3
98	10	0.0	0.0	10.5	98.0	46.5	clip_4
128	5	0.0	0.0	7.0	100.0	100.0	clip_5
152	7	0.0	0.0	0.0	79.0	50.5	clip_6
195	8	0.0	0.0	77.5	100.0	100.0	clip_7
221	9	0.0	0.0	79.5	100.0	100.0	clip_8
255	5	0.0	0.0	0.0	100.0	49.0	clip_9
298	10	0.0	0.0	0.0	100.0	43.5	clip_10
336	4	0.0	0.0	32.0	100.0	52.0	clip_11
350	9	0.0	0.0	43.0	92.0	93.5	clip_12
376	9	50.0	0.0	62.0	64.5	53.0	clip_13
428	10	0.0	0.0	0.5	100.0	47.0	clip_14
455	4	0.0	0.0	0.0	72.0	100.0	clip_15
484	8	0.0	0.0	0.0	97.5	100.0	clip_16
510	10	0.0	0.0	0.0	100.0	100.0	clip_17
532	8	0.0	0.0	0.0	100.0	100.0	clip_18
553	7	0.0	0.0	7.5	96.5	100.0	clip_19
582	8	0.0	0.0	0.0	100.0	100.0	clip_20
