onset	duration	Attention	Standards	Care	Alert	Urgency	trial
19	5	68.0	69.0	54.0	38.0	76.0	clip_1
60	6	63.5	63.5	15.5	38.0	10.5	clip_2
95	5	62.5	62.5	62.5	40.0	32.5	clip_3
131	5	62.5	62.5	36.0	38.0	16.0	clip_4
147	6	62.5	62.5	62.5	39.0	14.0	clip_5
176	6	61.0	61.0	47.5	39.5	25.0	clip_6
210	5	66.5	66.5	66.5	39.5	62.0	clip_7
233	5	69.5	69.5	69.5	39.0	71.5	clip_8
255	7	65.5	65.5	50.0	38.0	32.5	clip_9
286	6	64.0	64.0	64.0	39.5	74.5	clip_10
343	5	63.5	63.5	66.5	39.5	55.0	clip_11
385	8	66.0	66.0	66.0	38.0	54.5	clip_12
412	8	72.0	72.0	74.5	40.0	74.0	clip_13
465	7	65.0	65.0	76.0	38.5	55.0	clip_14
518	6	54.5	76.5	54.0	38.5	13.5	clip_15
555	5	59.5	71.5	52.5	39.5	10.5	clip_16
594	7	53.5	76.0	49.0	38.5	11.0	clip_17
611	7	55.0	74.5	50.5	38.0	8.5	clip_18
633	7	61.0	79.5	76.0	40.0	89.5	clip_19
666	4	62.0	85.5	75.5	39.5	88.0	clip_20
701	9	61.0	69.5	49.0	36.5	52.5	clip_21
740	8	63.0	71.5	67.5	38.5	70.5	clip_22
778	9	63.0	83.5	71.5	39.0	70.0	clip_23
799	7	65.0	78.5	68.5	40.5	74.5	clip_24
839	5	57.5	66.0	66.5	37.0	74.5	clip_25
894	6	61.5	75.5	62.5	40.0	58.5	clip_26
962	7	61.0	72.5	76.5	39.0	9.0	clip_27
1002	8	60.5	73.0	73.0	37.5	15.0	clip_28
1022	5	59.5	75.5	60.5	39.5	9.0	clip_29
