onset	duration	Attention	Standards	Care	Alert	Urgency	trial
9	4	53.5	73.0	56.5	37.0	66.0	clip_1
37	8	83.5	77.5	52.0	26.5	33.0	clip_2
58	4	84.5	78.5	56.0	26.5	23.5	clip_3
80	4	79.0	79.0	50.0	24.0	51.5	clip_4
104	10	81.5	81.5	50.5	24.5	67.5	clip_5
134	7	71.5	68.0	50.5	26.0	67.5	clip_6
155	5	69.5	69.5	50.0	24.5	66.5	clip_7
188	6	72.0	72.0	72.0	23.0	65.5	clip_8
209	8	82.0	77.0	51.0	22.5	73.0	clip_9
237	8	67.5	71.0	48.5	24.5	64.0	clip_10
279	9	79.0	73.0	49.0	22.5	59.5	clip_11
307	5	82.0	70.5	48.5	20.0	62.0	clip_12
358	6	83.0	80.0	52.0	22.5	69.5	clip_13
374	9	84.5	82.0	50.0	23.0	88.0	clip_14
395	9	85.5	83.5	52.0	23.0	87.5	clip_15
432	8	85.0	83.0	48.5	23.0	87.0	clip_16
488	5	82.5	78.5	50.5	21.5	78.5	clip_17
512	8	86.5	99.0	47.5	23.0	57.5	clip_18
535	5	82.0	85.0	47.5	22.0	66.0	clip_19
576	6	84.0	83.5	50.0	20.5	20.5	clip_20
