onset	duration	Attention	Standards	Care	Alert	Urgency	trial
15	6	87.5	87.0	50.5	26.0	88.0	clip_1
38	6	87.5	77.0	51.5	29.5	84.0	clip_2
94	5	86.5	86.5	48.5	28.5	14.0	clip_3
160	8	87.5	87.5	87.5	30.0	86.5	clip_4
190	6	86.5	86.5	86.5	30.0	87.5	clip_5
225	7	87.0	87.0	68.0	30.0	14.5	clip_6
265	7	87.5	87.5	69.0	30.5	14.5	clip_7
298	7	88.5	87.5	73.0	31.0	82.0	clip_8
371	7	88.0	88.0	73.0	31.5	52.5	clip_9
420	5	86.0	86.0	68.0	30.0	52.5	clip_10
452	6	86.0	86.0	60.0	30.0	51.5	clip_11
510	6	87.0	87.0	86.0	31.0	76.5	clip_12
536	6	87.0	87.0	87.0	30.5	89.0	clip_13
575	7	87.5	87.5	88.0	31.5	58.5	clip_14
593	7	87.5	87.5	87.5	87.5	68.5	clip_15
633	7	88.5	88.5	88.5	32.5	85.5	clip_16
663	7	87.5	87.5	74.0	33.0	52.5	clip_17
706	7	84.5	84.5	80.5	31.0	17.5	clip_18
