onset	duration	PleasantOther	Smile	Attention	AtEase	Stomach	trial
8	4	71.5	58.0	58.0	52.5	0.0	clip_1
51	8	50.0	56.5	60.0	60.0	0.0	clip_2
80	6	50.0	56.5	63.5	63.5	0.0	clip_3
108	6	95.0	67.5	60.0	83.0	0.0	clip_4
156	3	100.0	74.0	79.0	79.0	1.5	clip_5
209	5	69.5	48.5	63.5	64.5	1.5	clip_6
228	7	24.5	24.5	86.5	48.0	6.5	clip_7
252	6	11.5	13.0	82.0	46.5	0.0	clip_8
288	6	71.5	39.5	66.5	42.5	2.0	clip_9
330	6	31.0	31.0	65.0	24.5	5.0	clip_10
355	8	0.0	0.0	98.5	11.5	34.0	clip_11
390	6	3.0	3.0	39.0	18.5	26.0	clip_12
440	8	15.0	4.5	77.0	19.5	24.0	clip_13
468	9	7.0	6.5	54.5	38.0	4.5	clip_14
501	6	26.5	5.0	74.0	45.0	32.5	clip_15
543	6	4.0	1.5	58.5	42.5	14.0	clip_16
569	8	3.5	0.0	66.5	25.5	20.5	clip_17
611	8	20.5	20.5	49.5	43.0	2.0	clip_18
645	8	11.0	0.0	63.0	29.0	7.0	clip_19
675	8	0.0	0.0	73.5	35.0	0.5	clip_20
719	6	6.0	0.0	82.5	42.5	0.5	clip_21
762	8	50.0	29.5	59.0	57.0	0.0	clip_22
790	5	86.5	73.5	60.5	80.5	0.0	clip_23
