onset	duration	PleasantOther	Smile	Attention	AtEase	Stomach	trial
2	6	83.0	83.0	83.0	77.5	0.0	clip_1
23	5	24.5	8.5	63.5	42.5	4.0	clip_2
66	6	5.0	0.5	80.5	40.5	2.0	clip_3
85	7	21.5	4.5	82.5	41.0	3.0	clip_4
106	6	38.5	7.5	74.0	33.5	0.5	clip_5
124	6	59.5	22.5	53.5	46.0	5.0	clip_6
148	6	50.0	60.0	66.5	57.0	2.5	clip_7
170	10	55.0	51.5	63.0	63.0	2.0	clip_8
195	10	6.5	0.0	55.5	47.5	0.5	clip_9
238	8	28.0	6.5	62.0	55.5	10.5	clip_10
264	8	9.0	2.5	70.0	35.5	4.0	clip_11
294	9	29.0	7.0	68.0	38.5	3.0	clip_12
335	8	5.0	6.0	64.0	28.5	5.5	clip_13
359	5	48.5	46.5	46.5	46.5	0.0	clip_14
395	6	50.0	50.0	55.0	60.0	1.0	clip_15
