onset	duration	PleasantOther	Smile	Attention	AtEase	Stomach	trial
4	5	50.0	50.0	65.5	34.5	10.5	clip_1
44	6	50.0	6.0	65.5	6.5	21.5	clip_2
71	6	45.5	33.0	48.0	34.0	4.5	clip_3
118	8	50.0	50.0	65.5	44.5	8.5	clip_4
142	7	78.0	59.5	69.0	55.5	7.5	clip_5
168	5	92.5	76.0	76.0	67.5	6.0	clip_6
201	8	93.0	75.5	75.5	24.0	3.0	clip_7
232	6	36.5	22.5	60.5	54.0	11.5	clip_8
267	8	50.0	22.5	22.5	22.5	6.5	clip_9
308	7	78.0	78.0	78.0	66.0	10.0	clip_10
341	10	30.0	17.5	57.0	61.0	17.5	clip_11
404	9	99.5	81.0	81.0	62.5	5.0	clip_12
440	8	39.0	18.0	66.5	35.0	9.5	clip_13
473	7	84.5	84.5	84.5	81.0	10.5	clip_14
510	9	98.0	98.0	98.0	91.5	4.5	clip_15
547	4	97.0	97.0	89.0	88.0	7.0	clip_16
596	9	10.0	17.0	99.0	67.5	4.0	clip_17
638	6	4.0	15.0	90.5	14.5	7.0	clip_18
662	5	2.0	2.0	82.5	28.5	6.5	clip_19
690	8	0.0	0.0	70.0	19.0	1.5	clip_20
720	7	32.5	6.5	70.5	39.5	2.0	clip_21
750	8	5.0	51.5	64.5	37.5	5.0	clip_22
777	5	40.0	21.0	65.0	47.0	6.5	clip_23
799	5	50.0	50.0	50.0	50.0	2.0	clip_24
