onset	duration	PleasantOther	Smile	Attention	AtEase	Stomach	trial
16	5	0.0	78.5	78.5	56.5	0.0	clip_1
45	6	78.5	78.5	78.5	81.0	0.5	clip_2
80	6	5.0	26.0	66.0	65.5	22.0	clip_3
110	7	64.0	64.0	64.0	69.5	0.0	clip_4
140	6	16.0	52.0	76.0	76.0	4.5	clip_5
173	7	0.0	0.0	61.5	18.0	0.0	clip_6
193	6	0.0	0.0	82.0	10.0	22.5	clip_7
225	5	5.5	5.5	67.0	16.5	19.5	clip_8
243	5	59.0	31.0	76.0	45.0	5.5	clip_9
250	8	64.5	64.5	80.0	54.5	2.5	clip_10
270	4	84.0	84.0	72.0	88.0	0.0	clip_11
310	6	31.5	7.0	77.0	58.0	21.0	clip_12
328	10	0.0	0.0	77.0	9.0	32.5	clip_13
360	6	12.0	43.0	74.5	58.0	26.5	clip_14
397	7	61.0	32.5	68.5	34.5	7.0	clip_15
440	5	0.0	0.0	36.0	30.5	19.5	clip_16
452	8	10.5	24.5	64.0	48.0	27.5	clip_17
478	6	0.0	0.0	71.0	47.5	29.5	clip_18
