onset	duration	Support	Muscle	Frown	Disgust	PleasantOther	trial
4	5	0.0	23.0	56.0	6.5	50.0	clip_1
44	6	9.0	26.0	83.5	48.0	21.5	clip_2
71	6	0.0	18.0	39.0	13.5	50.5	clip_3
118	8	0.0	13.0	27.5	12.0	72.0	clip_4
142	7	0.0	11.0	11.0	3.5	71.0	clip_5
168	5	18.5	18.5	13.0	3.5	80.0	clip_6
201	8	68.0	42.5	62.5	10.0	74.5	clip_7
232	6	30.5	61.0	77.0	21.5	34.5	clip_8
267	8	38.5	38.0	50.0	32.5	26.5	clip_9
308	7	31.5	35.0	35.0	21.5	13.5	clip_10
341	10	77.5	41.0	88.5	25.0	0.0	clip_11
404	9	57.0	33.0	16.0	16.0	100.0	clip_12
440	8	76.0	34.0	34.0	13.5	13.5	clip_13
473	7	0.0	34.0	9.0	9.0	100.0	clip_14
510	9	84.0	79.0	79.0	74.5	98.5	clip_15
547	4	92.0	82.5	82.5	82.5	92.0	clip_16
596	9	93.0	88.0	54.0	67.0	0.0	clip_17
638	6	81.0	66.5	34.0	51.5	17.0	clip_18
662	5	66.0	51.5	25.0	34.5	0.0	clip_19
690	8	36.0	30.0	19.0	9.0	9.0	clip_20
720	7	60.5	31.0	11.0	0.0	0.0	clip_21
750	8	63.0	25.5	21.5	10.5	10.5	clip_22
777	5	91.5	47.0	47.0	13.0	31.0	clip_23
799	5	69.5	36.0	44.5	14.5	14.5	clip_24
