onset	duration	Support	Muscle	Frown	Disgust	PleasantOther	trial
6	5	13.0	13.0	27.5	15.0	42.0	clip_1
29	5	9.5	9.5	16.0	6.5	63.5	clip_2
60	6	25.0	28.0	37.5	22.5	53.0	clip_3
82	7	42.0	49.0	26.0	9.0	51.0	clip_4
113	6	54.5	62.0	62.0	21.5	37.0	clip_5
134	6	63.0	79.5	74.0	57.0	0.0	clip_6
166	9	76.5	76.5	65.0	75.0	7.0	clip_7
196	8	39.5	39.5	60.5	63.5	26.0	clip_8
239	8	17.0	31.0	69.5	69.5	34.5	clip_9
267	9	35.5	59.5	59.5	78.5	21.5	clip_10
307	10	37.5	60.0	70.5	52.5	30.5	clip_11
352	8	39.0	39.0	59.0	65.0	25.5	clip_12
392	6	70.5	70.5	70.5	79.0	4.5	clip_13
405	7	62.5	66.0	49.0	71.5	25.0	clip_14
443	8	66.5	42.0	42.0	70.5	18.5	clip_15
507	9	60.0	38.0	27.5	23.5	33.5	clip_16
532	7	36.0	41.0	44.5	30.0	21.0	clip_17
570	7	68.5	64.0	36.0	17.0	23.5	clip_18
598	9	68.5	68.5	77.0	62.0	37.0	clip_19
645	8	63.0	56.0	62.0	37.0	25.5	clip_20
674	5	33.5	38.5	63.5	61.5	15.5	clip_21
707	9	45.0	71.0	71.0	64.0	34.0	clip_22
740	7	33.5	40.0	35.0	29.0	21.5	clip_23
776	10	66.0	39.5	28.5	19.5	11.0	clip_24
803	5	67.0	73.5	82.0	94.5	8.5	clip_25
829	7	50.0	42.5	34.5	63.5	26.0	clip_26
864	6	65.0	36.0	26.0	37.0	12.0	clip_27
910	8	35.0	35.0	27.0	14.0	56.0	clip_28
955	10	37.0	30.5	21.0	9.0	9.0	clip_29
972	7	29.5	13.5	7.0	8.0	33.0	clip_30
986	6	27.5	16.5	10.5	10.5	26.0	clip_31
