onset	duration	Good	Throat	Controlled	Bad	GoalsOther	trial
16	5	61.5	30.0	30.0	45.5	57.5	clip_1
45	6	50.0	50.0	50.0	50.0	50.0	clip_2
80	6	28.0	40.0	54.0	71.5	74.5	clip_3
110	7	41.5	31.5	31.5	54.5	65.0	clip_4
140	6	50.0	50.0	50.0	50.0	59.5	clip_5
173	7	41.0	32.0	36.0	58.0	65.5	clip_6
193	6	22.5	40.0	52.0	65.5	74.0	clip_7
225	5	57.5	41.0	38.5	55.0	69.0	clip_8
243	5	50.0	50.0	50.0	50.0	50.0	clip_9
250	8	58.0	35.5	58.0	36.5	87.0	clip_10
270	4	77.5	16.0	51.0	28.0	49.5	clip_11
310	6	58.5	40.0	40.0	39.0	66.0	clip_12
328	10	56.5	39.0	60.0	44.0	66.0	clip_13
360	6	56.0	43.0	58.0	43.0	60.0	clip_14
397	7	50.0	50.0	50.0	50.0	50.0	clip_15
440	5	15.0	28.0	59.0	73.0	81.0	clip_16
452	8	44.0	37.5	57.5	50.0	73.5	clip_17
478	6	77.0	12.5	55.5	11.5	55.5	clip_18
