onset	duration	Good	Throat	Controlled	Bad	GoalsOther	trial
27	7	31.5	31.5	30.0	64.5	72.0	clip_1
55	6	50.0	50.0	50.0	50.0	50.0	clip_2
80	8	50.0	50.0	31.5	55.5	63.5	clip_3
103	6	33.0	33.0	51.5	74.0	85.0	clip_4
135	8	47.0	31.5	31.5	56.0	63.5	clip_5
184	6	35.0	37.5	51.0	59.0	63.5	clip_6
224	8	33.0	42.5	47.5	66.5	78.0	clip_7
251	10	39.0	42.0	52.0	64.0	73.5	clip_8
282	8	36.0	47.0	55.5	66.0	76.5	clip_9
316	5	50.0	41.0	30.0	49.5	62.5	clip_10
354	8	29.5	35.0	40.0	61.5	68.0	clip_11
372	6	40.0	41.0	45.0	61.0	63.0	clip_12
405	5	26.0	39.5	48.5	67.5	78.5	clip_13
442	7	30.0	36.0	30.0	59.0	50.5	clip_14
485	5	40.5	40.5	40.5	60.5	52.0	clip_15
