onset	duration	Good	Throat	Controlled	Bad	GoalsOther	trial
8	4	50.0	50.0	50.0	50.0	50.0	clip_1
51	8	50.0	50.0	50.0	50.0	50.0	clip_2
80	6	50.0	50.0	50.0	50.0	50.0	clip_3
108	6	50.0	50.0	50.0	50.0	65.0	clip_4
156	3	56.0	41.5	51.5	15.0	71.0	clip_5
209	5	50.0	50.0	50.0	50.0	50.0	clip_6
228	7	31.5	31.5	31.5	62.0	70.5	clip_7
252	6	37.5	37.5	50.0	62.0	71.5	clip_8
288	6	36.0	40.0	40.0	58.0	67.0	clip_9
330	6	44.0	39.0	39.0	53.0	69.0	clip_10
355	8	40.0	27.0	55.5	50.0	70.0	clip_11
390	6	50.0	54.5	46.5	55.0	82.5	clip_12
440	8	31.5	50.0	52.0	67.0	77.0	clip_13
468	9	35.0	35.0	35.0	61.5	73.0	clip_14
501	6	27.5	56.0	44.0	65.0	79.0	clip_15
543	6	34.5	39.5	53.0	63.5	79.5	clip_16
569	8	42.0	42.0	47.0	65.5	79.0	clip_17
611	8	59.5	50.0	50.0	43.5	71.0	clip_18
645	8	57.5	50.5	36.0	50.0	66.5	clip_19
675	8	38.0	45.0	56.5	56.5	79.5	clip_20
719	6	45.5	48.5	48.5	55.0	85.5	clip_21
762	8	50.0	50.0	50.0	50.0	88.0	clip_22
790	5	54.5	41.0	51.0	51.0	76.0	clip_23
