onset	duration	Good	Throat	Controlled	Bad	GoalsOther	trial
3	7	37.5	21.5	18.0	66.0	66.0	clip_1
44	7	50.0	50.0	50.0	50.0	50.0	clip_2
76	5	43.5	13.0	50.0	50.0	52.0	clip_3
95	8	49.0	20.5	48.5	57.0	59.5	clip_4
139	8	50.0	50.0	50.0	50.0	58.5	clip_5
193	9	50.5	50.5	50.5	50.5	67.5	clip_6
230	7	45.0	0.0	49.0	49.0	67.0	clip_7
270	10	37.0	43.0	43.0	65.5	68.0	clip_8
316	9	50.0	50.0	50.0	50.0	100.0	clip_9
360	8	50.0	50.0	50.0	50.0	50.0	clip_10
420	10	40.5	40.5	24.5	41.0	73.0	clip_11
466	8	47.0	45.5	45.5	54.5	82.5	clip_12
493	8	50.0	50.0	50.0	50.0	78.5	clip_13
525	9	43.0	41.0	45.0	45.0	80.0	clip_14
559	5	50.0	50.0	50.0	50.0	50.0	clip_15
576	8	40.0	40.0	0.0	58.5	89.0	clip_16
590	4	39.0	36.0	36.0	59.0	86.0	clip_17
628	8	33.5	51.5	26.0	68.5	84.0	clip_18
653	5	50.0	50.0	50.0	50.0	50.0	clip_19
670	6	39.0	42.0	35.5	55.5	61.5	clip_20
689	3	53.0	44.0	44.0	57.5	78.5	clip_21
721	6	37.5	42.0	42.0	64.0	66.0	clip_22
737	5	33.5	33.5	33.5	62.0	80.5	clip_23
766	8	35.0	50.0	50.0	64.5	80.0	clip_24
