onset	duration	Good	Throat	Controlled	Bad	GoalsOther	trial
16	5	44.5	44.5	44.5	44.5	44.5	clip_1
48	8	50.0	50.0	50.0	50.0	50.0	clip_2
68	4	47.0	41.5	41.0	59.5	59.5	clip_3
94	7	50.0	50.0	50.0	50.0	61.5	clip_4
116	4	47.5	43.5	41.0	49.5	68.5	clip_5
165	7	47.5	45.0	51.5	62.5	73.0	clip_6
196	6	50.0	50.0	50.0	50.0	50.0	clip_7
232	10	50.0	50.0	50.0	50.0	50.0	clip_8
285	5	38.5	38.5	20.5	69.5	72.5	clip_9
307	7	35.0	46.0	31.5	66.0	66.0	clip_10
355	10	27.5	48.0	14.0	68.5	55.5	clip_11
384	9	30.5	53.5	2.0	73.5	69.5	clip_12
