onset	duration	Anxiety	Guilt	IntenseEmotion	Sad	Regard	trial
4	5	63.5	28.5	62.0	62.0	42.5	clip_1
44	6	66.5	0.5	69.5	69.5	55.0	clip_2
71	6	0.0	0.0	0.0	0.0	0.0	clip_3
118	8	0.0	0.0	0.0	0.0	0.0	clip_4
142	7	0.0	0.0	0.0	0.0	0.0	clip_5
168	5	0.0	0.0	36.0	50.0	44.5	clip_6
201	8	17.0	0.0	48.5	67.5	53.0	clip_7
232	6	32.5	0.0	0.0	0.0	0.0	clip_8
267	8	64.0	0.0	49.0	0.0	0.0	clip_9
308	7	0.0	0.0	0.0	0.0	15.5	clip_10
341	10	0.0	0.0	0.0	0.0	0.0	clip_11
404	9	0.0	0.0	21.0	0.0	38.5	clip_12
440	8	2.0	2.0	12.0	0.0	22.5	clip_13
473	7	0.0	0.0	21.5	0.0	38.5	clip_14
510	9	0.0	0.0	16.5	0.0	18.0	clip_15
547	4	0.0	0.0	14.0	0.0	20.0	clip_16
596	9	17.5	18.0	1.0	45.0	33.0	clip_17
638	6	37.5	83.5	63.5	66.5	51.0	clip_18
662	5	42.5	86.5	70.5	70.5	49.5	clip_19
690	8	65.5	100.0	78.0	78.0	57.5	clip_20
720	7	67.0	67.0	67.0	82.5	64.5	clip_21
750	8	47.5	65.5	40.0	49.0	37.0	clip_22
777	5	34.0	47.5	42.0	42.0	42.0	clip_23
799	5	25.5	44.0	34.0	46.5	31.5	clip_24
