onset	duration	Anxiety	Guilt	IntenseEmotion	Sad	Regard	trial
8	4	0.0	0.0	0.0	0.0	0.0	clip_1
51	8	0.0	0.0	0.0	12.0	0.0	clip_2
80	6	5.5	0.0	0.0	13.0	0.5	clip_3
108	6	0.0	0.0	0.0	16.0	0.0	clip_4
156	3	0.0	0.0	0.0	0.0	0.0	clip_5
209	5	0.0	0.0	0.0	0.0	0.0	clip_6
228	7	0.0	0.0	18.5	30.0	30.0	clip_7
252	6	0.0	0.0	17.0	17.0	31.5	clip_8
288	6	0.0	0.0	22.5	16.0	28.5	clip_9
330	6	8.5	0.0	18.5	16.0	28.0	clip_10
355	8	0.0	0.0	19.5	19.5	27.5	clip_11
390	6	0.0	0.0	0.0	16.0	26.0	clip_12
440	8	0.0	0.0	21.0	21.0	30.0	clip_13
468	9	0.0	12.5	6.0	13.0	35.5	clip_14
501	6	1.0	1.0	14.5	21.5	20.5	clip_15
543	6	0.0	0.0	49.0	14.0	0.0	clip_16
569	8	10.0	0.0	23.5	23.5	11.0	clip_17
611	8	4.0	0.0	0.0	11.0	11.0	clip_18
645	8	0.0	0.0	11.5	3.5	3.5	clip_19
675	8	0.0	0.0	36.0	0.0	0.0	clip_20
719	6	0.5	0.5	54.5	16.5	16.5	clip_21
762	8	0.5	0.5	49.0	28.5	24.0	clip_22
790	5	0.0	0.0	10.0	0.0	0.0	clip_23
