onset	duration	Support	Muscle	Frown	Disgust	PleasantOther	trial
15	9	16.0	6.5	6.5	6.5	64.0	clip_1
35	5	19.0	7.0	7.0	7.0	85.0	clip_2
63	6	28.5	28.5	21.5	7.5	50.0	clip_3
116	7	30.5	25.0	59.5	31.0	35.5	clip_4
162	8	50.0	39.0	51.0	37.0	27.0	clip_5
185	7	64.5	37.0	62.5	35.0	23.0	clip_6
203	5	67.5	33.0	33.0	21.0	11.0	clip_7
248	7	66.0	77.0	85.5	62.5	6.5	clip_8
286	8	71.5	31.0	66.0	38.5	17.0	clip_9
333	7	70.0	41.0	65.5	65.5	13.0	clip_10
360	7	73.0	80.0	72.0	65.0	2.5	clip_11
383	7	74.0	79.5	69.0	67.5	7.5	clip_12
412	6	70.5	33.0	57.5	37.0	21.5	clip_13
470	9	76.5	29.0	93.0	31.0	49.5	clip_14
517	6	66.5	56.0	68.5	24.0	32.0	clip_15
543	7	79.0	63.5	47.5	27.0	7.0	clip_16
584	8	67.5	62.5	42.0	23.5	31.5	clip_17
627	6	64.0	75.5	77.0	80.5	0.0	clip_18
648	6	71.0	65.5	63.0	60.0	15.5	clip_19
694	7	58.0	53.5	42.0	28.0	53.5	clip_20
743	8	60.5	28.0	25.0	6.0	73.5	clip_21
785	7	31.0	11.5	5.5	27.5	100.0	clip_22
801	6	16.5	0.0	0.0	0.0	100.0	clip_23
