onset	duration	Support	Muscle	Frown	Disgust	PleasantOther	trial
16	5	0.0	56.5	56.5	8.5	17.0	clip_1
48	8	9.5	19.0	13.5	16.5	68.0	clip_2
68	4	64.0	79.0	83.0	75.0	47.5	clip_3
94	7	0.0	10.0	10.0	10.0	21.5	clip_4
116	4	36.5	29.5	29.5	62.0	0.0	clip_5
165	7	69.5	35.0	23.5	50.0	24.0	clip_6
196	6	79.0	79.0	79.0	65.0	0.0	clip_7
232	10	55.0	60.5	65.5	72.0	22.5	clip_8
285	5	39.0	39.0	32.5	17.5	49.5	clip_9
307	7	85.5	85.5	85.5	86.5	0.0	clip_10
355	10	89.5	100.0	90.5	90.5	0.0	clip_11
384	9	100.0	100.0	100.0	100.0	0.0	clip_12
