onset	duration	Support	Muscle	Frown	Disgust	PleasantOther	trial
1	5	100.0	81.5	83.0	83.0	0.0	clip_1
26	5	50.0	18.5	18.5	12.5	28.0	clip_2
51	6	14.5	14.5	14.5	7.0	60.0	clip_3
65	6	40.5	41.0	62.5	26.5	16.5	clip_4
99	9	34.0	34.0	34.0	24.0	13.5	clip_5
132	8	56.5	56.5	60.5	37.0	31.5	clip_6
210	8	28.0	69.5	69.5	69.5	0.0	clip_7
240	9	69.5	18.0	63.5	31.5	39.0	clip_8
263	5	29.5	29.5	48.0	34.5	67.5	clip_9
296	9	22.0	22.0	47.0	23.5	75.0	clip_10
328	6	19.5	19.5	19.5	16.0	86.5	clip_11
376	8	36.0	12.0	57.5	35.5	34.0	clip_12
393	11	30.0	18.0	18.0	24.0	62.0	clip_13
422	9	61.5	90.5	90.5	90.5	0.0	clip_14
466	5	50.0	69.0	67.0	73.0	18.5	clip_15
535	8	50.0	70.0	70.0	70.0	20.5	clip_16
551	8	100.0	100.0	85.5	93.0	0.0	clip_17
574	6	71.5	74.5	74.5	63.5	0.0	clip_18
599	7	37.0	61.0	61.0	68.5	10.5	clip_19
641	8	50.0	65.0	40.5	20.5	71.5	clip_20
