onset	duration	Attention	Standards	Care	Alert	Urgency	trial
15	9	66.5	66.5	15.5	15.0	12.5	clip_1
35	5	65.5	65.5	14.0	11.0	11.0	clip_2
63	6	61.0	67.0	9.5	9.5	9.5	clip_3
116	7	66.5	69.0	8.5	8.5	8.5	clip_4
162	8	72.5	72.5	8.5	8.5	8.5	clip_5
185	7	68.5	70.5	7.0	7.0	0.5	clip_6
203	5	68.5	70.5	4.5	4.5	4.5	clip_7
248	7	68.5	70.0	7.0	7.0	7.0	clip_8
286	8	70.0	70.0	5.5	5.5	5.5	clip_9
333	7	70.0	70.0	7.0	7.0	7.0	clip_10
360	7	71.0	71.0	7.0	7.0	7.0	clip_11
383	7	70.5	70.5	6.0	6.0	6.0	clip_12
412	6	72.0	72.0	5.0	5.0	5.0	clip_13
470	9	69.0	69.0	6.0	6.0	6.0	clip_14
517	6	70.0	70.0	9.0	9.0	9.0	clip_15
543	7	69.5	57.5	7.5	7.5	7.5	clip_16
584	8	70.5	70.5	6.0	6.0	6.0	clip_17
627	6	70.5	70.5	6.0	6.0	6.0	clip_18
648	6	72.0	72.0	6.5	6.5	6.5	clip_19
694	7	70.0	70.0	10.0	10.0	10.0	clip_20
743	8	69.5	69.5	7.5	7.5	7.5	clip_21
785	7	69.5	69.5	8.5	8.5	8.5	clip_22
801	6	69.5	69.5	8.0	8.0	8.0	clip_23
