onset	duration	Attention	Standards	Care	Alert	Urgency	trial
4	5	68.0	68.0	7.0	7.0	7.0	clip_1
44	6	68.5	68.5	8.5	8.5	8.5	clip_2
71	6	69.5	69.5	7.0	7.0	7.0	clip_3
118	8	68.5	68.5	6.0	6.0	6.0	clip_4
142	7	70.5	70.5	9.0	9.0	9.0	clip_5
168	5	70.0	70.0	7.5	7.5	7.5	clip_6
201	8	70.5	70.5	9.5	9.5	9.5	clip_7
232	6	72.5	72.5	9.0	9.0	9.0	clip_8
267	8	69.5	69.5	7.0	7.0	7.0	clip_9
308	7	71.0	71.0	8.5	8.5	8.5	clip_10
341	10	70.0	70.0	9.0	9.0	9.0	clip_11
404	9	69.5	69.5	8.5	8.5	8.5	clip_12
440	8	73.5	73.5	9.0	9.0	9.0	clip_13
473	7	71.5	71.5	9.5	9.5	9.5	clip_14
510	9	71.5	71.5	9.5	9.5	9.5	clip_15
547	4	69.5	69.5	9.0	9.0	9.0	clip_16
596	9	69.5	69.5	7.0	7.0	11.0	clip_17
638	6	71.0	71.0	7.5	7.5	14.5	clip_18
662	5	70.0	70.0	6.5	6.5	17.0	clip_19
690	8	71.0	71.0	8.0	8.0	16.5	clip_20
720	7	72.5	72.5	7.5	7.5	7.5	clip_21
750	8	72.5	72.5	8.0	8.0	8.0	clip_22
777	5	71.0	71.0	8.5	8.5	8.5	clip_23
799	5	72.0	72.0	8.0	8.0	8.0	clip_24
