onset	duration	Urgency	Tears	Anger	Eyebrows	Throat	trial
8	4	5.5	0.0	0.0	0.0	0.0	clip_1
51	8	0.0	0.0	0.0	0.0	0.0	clip_2
80	6	50.0	0.0	0.0	0.0	0.0	clip_3
108	6	0.0	0.0	0.0	0.0	0.0	clip_4
156	3	0.0	0.0	0.0	0.0	0.0	clip_5
209	5	0.0	0.0	0.0	0.0	0.0	clip_6
228	7	50.0	0.0	0.0	0.0	0.0	clip_7
252	6	49.0	25.5	0.0	0.0	0.0	clip_8
288	6	50.0	1.0	44.0	0.0	0.0	clip_9
330	6	21.0	0.0	0.0	0.0	0.0	clip_10
355	8	57.0	0.0	67.0	0.0	0.0	clip_11
390	6	0.0	0.0	0.0	0.0	0.0	clip_12
440	8	0.0	0.0	0.0	0.0	0.0	clip_13
468	9	0.0	0.0	0.0	0.0	0.0	clip_14
501	6	0.0	0.0	100.0	0.0	0.0	clip_15
543	6	59.0	0.0	76.0	67.0	51.0	clip_16
569	8	66.0	0.0	100.0	66.0	49.0	clip_17
611	8	0.0	0.0	0.0	0.0	0.0	clip_18
645	8	0.0	0.0	0.0	0.0	0.0	clip_19
675	8	0.0	0.0	0.0	0.0	0.0	clip_20
719	6	0.0	0.0	0.0	0.0	0.0	clip_21
762	8	15.5	0.0	0.0	0.0	0.0	clip_22
790	5	0.0	0.0	0.0	0.0	0.0	clip_23
