onset	duration	Sad	Oppose	Surprise	Disgust	Smile	trial
16	5	29.5	0.0	18.5	0.0	26.5	clip_1
45	6	0.0	0.0	0.0	0.0	26.0	clip_2
80	6	32.0	0.0	25.0	0.0	27.5	clip_3
110	7	0.0	0.0	38.5	0.0	100.0	clip_4
140	6	0.0	0.0	0.0	0.0	67.5	clip_5
173	7	0.0	0.0	24.0	0.0	100.0	clip_6
193	6	61.0	49.5	0.0	0.0	67.0	clip_7
225	5	0.0	0.0	0.0	0.0	63.0	clip_8
243	5	0.0	0.0	0.0	0.0	0.0	clip_9
250	8	0.0	0.0	9.0	0.0	32.5	clip_10
270	4	0.0	0.0	0.0	0.0	100.0	clip_11
310	6	0.0	17.5	0.0	0.0	18.5	clip_12
328	10	0.0	0.0	0.0	0.0	100.0	clip_13
360	6	0.0	0.0	0.0	0.0	100.0	clip_14
397	7	0.0	0.0	0.0	0.0	100.0	clip_15
440	5	23.0	68.5	0.0	0.0	37.0	clip_16
452	8	0.0	14.0	6.0	0.0	100.0	clip_17
478	6	0.0	0.0	16.5	0.0	100.0	clip_18
