onset	duration	Sad	Oppose	Surprise	Disgust	Smile	trial
1	5	53.5	33.0	0.0	0.0	0.0	clip_1
26	5	14.0	0.0	0.0	0.0	0.0	clip_2
51	6	0.0	0.0	0.0	0.0	0.0	clip_3
65	6	0.0	49.0	0.0	0.0	0.0	clip_4
99	9	26.5	40.5	0.0	0.0	0.0	clip_5
132	8	0.0	0.0	0.0	0.0	0.0	clip_6
210	8	0.0	20.0	0.0	0.0	0.0	clip_7
240	9	0.0	9.5	0.0	0.0	0.0	clip_8
263	5	0.0	0.0	0.0	0.0	32.5	clip_9
296	9	0.0	0.0	0.0	0.0	0.0	clip_10
328	6	0.0	0.0	0.0	0.0	0.0	clip_11
376	8	0.0	0.0	0.0	0.0	0.0	clip_12
393	11	0.0	0.0	0.0	0.0	0.0	clip_13
422	9	0.0	4.0	52.5	0.0	0.0	clip_14
466	5	0.0	0.0	0.0	0.0	0.0	clip_15
535	8	0.0	0.0	0.0	0.0	0.0	clip_16
551	8	57.5	0.0	0.0	8.5	0.0	clip_17
574	6	61.0	28.0	0.0	16.5	0.0	clip_18
599	7	36.5	0.0	0.0	0.0	0.0	clip_19
641	8	0.0	0.0	0.0	0.0	0.0	clip_20
