onset	duration	Sad	Oppose	Surprise	Disgust	Smile	trial
2	6	58.5	52.0	37.5	37.5	0.0	clip_1
23	5	56.0	36.0	23.5	0.0	0.0	clip_2
66	6	60.0	30.5	0.0	0.0	0.0	clip_3
85	7	61.5	0.0	0.0	0.0	0.0	clip_4
106	6	60.5	0.0	0.0	0.0	0.0	clip_5
124	6	68.0	6.0	0.0	0.0	0.0	clip_6
148	6	4.0	0.0	0.0	59.0	100.0	clip_7
170	10	0.0	0.0	0.0	0.0	0.0	clip_8
195	10	61.0	0.0	0.0	0.0	0.0	clip_9
238	8	62.0	0.0	0.0	0.0	0.0	clip_10
264	8	100.0	0.0	100.0	0.0	0.0	clip_11
294	9	85.5	1.0	0.0	0.0	0.0	clip_12
335	8	60.0	0.0	0.0	0.0	0.0	clip_13
359	5	60.5	0.0	0.0	0.0	0.0	clip_14
395	6	62.0	0.0	0.0	0.0	0.0	clip_15
