onset	duration	Stop	Care	Suddenly	WarmHeartedness	Love	trial
15	9	65.0	0.0	0.0	0.0	0.0	clip_1
35	5	65.0	0.0	0.0	0.0	0.0	clip_2
63	6	31.0	0.0	0.0	0.0	0.0	clip_3
116	7	31.5	39.5	7.5	62.5	0.0	clip_4
162	8	31.0	35.5	61.5	29.5	36.5	clip_5
185	7	62.5	72.5	46.5	0.0	0.0	clip_6
203	5	0.0	0.0	0.0	0.0	0.0	clip_7
248	7	0.0	0.0	0.0	0.0	0.0	clip_8
286	8	0.0	19.0	11.0	0.0	0.0	clip_9
333	7	58.5	65.5	77.5	28.0	7.0	clip_10
360	7	57.5	34.0	77.0	0.0	0.0	clip_11
383	7	42.0	64.5	64.0	11.5	32.5	clip_12
412	6	27.0	37.0	65.5	0.0	0.0	clip_13
470	9	63.0	82.0	71.5	0.0	0.0	clip_14
517	6	60.5	77.5	66.0	0.0	0.0	clip_15
543	7	36.0	43.0	24.5	0.0	0.0	clip_16
584	8	0.5	0.5	0.5	0.5	0.5	clip_17
627	6	62.0	75.5	45.0	0.0	0.0	clip_18
648	6	67.5	76.5	28.0	0.0	0.0	clip_19
694	7	0.0	33.0	33.0	78.5	58.5	clip_20
743	8	0.0	0.0	0.0	65.0	34.0	clip_21
785	7	22.0	0.0	0.0	86.5	61.5	clip_22
801	6	67.0	28.5	42.5	14.5	0.0	clip_23
