onset	duration	Urgency	SocialNorms	Lips	Satisfaction	IntenseEmotion	trial
1	5	78.0	42.0	52.5	1.5	63.0	clip_1
26	5	0.0	57.0	49.0	49.0	45.0	clip_2
51	6	4.0	69.0	34.5	63.0	36.5	clip_3
65	6	76.5	69.0	35.0	51.5	38.5	clip_4
99	9	27.5	57.5	43.5	56.5	30.0	clip_5
132	8	12.0	47.5	71.5	63.5	39.5	clip_6
210	8	36.5	0.0	50.0	0.0	54.0	clip_7
240	9	37.5	50.0	50.0	48.0	44.0	clip_8
263	5	36.0	50.5	62.5	40.5	34.5	clip_9
296	9	31.5	34.5	59.5	34.5	47.5	clip_10
328	6	16.0	61.0	31.5	68.0	40.0	clip_11
376	8	34.5	35.5	66.5	40.0	37.5	clip_12
393	11	39.5	31.0	48.0	35.0	46.0	clip_13
422	9	87.5	0.0	60.5	0.0	39.0	clip_14
466	5	35.5	69.0	37.5	33.5	56.5	clip_15
535	8	80.0	46.0	30.0	24.0	68.5	clip_16
551	8	100.0	0.0	54.5	0.0	88.0	clip_17
574	6	95.0	10.0	69.5	17.5	61.0	clip_18
599	7	8.0	40.5	39.5	21.5	52.0	clip_19
641	8	13.5	22.5	26.0	52.5	34.5	clip_20
