onset	duration	Care	Disgust	Regard	Undo	Move	trial
3	7	43.0	37.0	37.0	49.5	49.5	clip_1
44	7	40.5	34.5	60.5	41.0	41.0	clip_2
76	5	43.0	27.5	62.0	52.5	0.0	clip_3
95	8	40.0	19.5	60.5	36.5	27.0	clip_4
139	8	28.0	13.5	55.5	48.0	30.5	clip_5
193	9	33.0	26.5	55.0	31.0	18.5	clip_6
230	7	50.0	33.0	57.0	50.0	35.5	clip_7
270	10	50.0	40.5	51.5	51.5	33.5	clip_8
316	9	56.0	17.5	66.5	57.5	20.0	clip_9
360	8	32.0	32.0	62.0	35.0	17.5	clip_10
420	10	0.0	0.0	31.5	31.5	31.5	clip_11
466	8	50.0	25.5	25.5	25.5	11.0	clip_12
493	8	0.0	0.0	30.0	30.0	8.0	clip_13
525	9	0.0	14.5	14.5	14.5	0.0	clip_14
559	5	0.0	67.5	42.0	12.5	12.5	clip_15
576	8	0.0	44.5	44.5	6.0	6.0	clip_16
590	4	0.0	58.0	51.5	24.0	5.0	clip_17
628	8	9.0	45.0	45.0	13.0	13.0	clip_18
653	5	0.0	0.0	51.0	0.0	0.0	clip_19
670	6	0.0	0.0	17.0	0.0	0.0	clip_20
689	3	0.0	0.0	73.5	0.5	0.5	clip_21
721	6	0.0	0.0	53.5	0.0	0.0	clip_22
737	5	0.0	71.5	46.0	0.0	0.0	clip_23
766	8	67.5	46.5	34.0	34.0	13.0	clip_24
