onset	duration	Fear	Standards	Bad	Strong	AtEase	trial
8	4	0.5	70.5	2.0	2.0	86.5	clip_1
51	8	16.5	32.5	67.0	4.0	66.5	clip_2
80	6	6.5	28.0	50.5	0.5	48.0	clip_3
108	6	0.0	100.0	8.5	49.0	87.0	clip_4
156	3	11.0	64.0	8.0	0.0	59.5	clip_5
209	5	5.0	78.5	6.0	48.5	57.5	clip_6
228	7	7.0	49.5	69.5	1.0	20.0	clip_7
252	6	12.0	17.0	70.5	0.0	15.0	clip_8
288	6	29.5	22.0	94.5	0.0	5.0	clip_9
330	6	62.5	22.5	72.5	6.0	6.0	clip_10
355	8	73.0	73.0	54.0	9.0	2.0	clip_11
390	6	28.5	65.0	57.0	0.0	6.0	clip_12
440	8	24.5	10.5	71.5	7.0	2.5	clip_13
468	9	18.0	18.0	69.5	0.0	4.0	clip_14
501	6	4.5	17.0	90.5	1.5	25.0	clip_15
543	6	65.5	2.0	85.0	7.0	7.0	clip_16
569	8	72.0	29.5	77.5	0.5	41.0	clip_17
611	8	32.0	69.0	40.5	0.0	39.5	clip_18
645	8	22.5	100.0	19.5	1.0	56.5	clip_19
675	8	11.0	67.5	59.5	3.0	3.0	clip_20
719	6	3.5	90.0	24.0	2.5	34.0	clip_21
762	8	28.0	58.0	25.0	1.5	78.0	clip_22
790	5	0.0	83.5	1.5	53.0	100.0	clip_23
