onset	duration	Attention	Frown	Satisfaction	Agent	PleasantOther	trial
15	9	50.0	12.0	50.0	74.0	49.0	clip_1
35	5	67.0	67.0	70.0	70.0	64.0	clip_2
63	6	69.5	53.5	50.0	46.5	48.0	clip_3
116	7	69.5	53.5	53.5	69.5	50.5	clip_4
162	8	65.0	30.5	68.5	54.5	55.5	clip_5
185	7	71.5	57.5	49.5	48.5	37.5	clip_6
203	5	65.0	35.0	61.0	52.0	48.0	clip_7
248	7	63.0	53.5	57.5	70.0	38.5	clip_8
286	8	50.0	50.0	51.0	62.5	39.5	clip_9
333	7	73.5	38.5	75.5	34.0	44.0	clip_10
360	7	62.5	57.0	57.0	49.0	37.5	clip_11
383	7	62.5	62.5	62.5	49.0	49.0	clip_12
412	6	50.0	39.0	39.0	50.5	38.0	clip_13
470	9	51.0	60.5	64.5	64.5	47.5	clip_14
517	6	70.0	45.5	55.0	51.0	51.0	clip_15
543	7	76.5	27.0	53.5	53.5	53.5	clip_16
584	8	67.0	38.5	41.0	52.0	49.0	clip_17
627	6	62.5	65.5	37.0	47.0	37.5	clip_18
648	6	56.0	52.5	52.5	52.5	52.5	clip_19
694	7	60.0	58.5	37.5	71.5	37.5	clip_20
743	8	69.5	36.0	78.5	49.0	78.5	clip_21
785	7	72.5	31.0	71.5	49.0	78.0	clip_22
801	6	62.0	29.0	86.5	80.5	80.5	clip_23
