onset	duration	PleasantOther	Smile	Attention	AtEase	Stomach	trial
3	7	9.0	7.0	81.0	19.5	31.0	clip_1
44	7	50.0	16.0	62.5	48.0	20.0	clip_2
76	5	21.5	13.0	63.5	25.0	29.0	clip_3
95	8	22.5	22.5	51.5	16.0	16.0	clip_4
139	8	47.0	30.5	46.0	34.0	13.0	clip_5
193	9	22.5	22.5	67.0	22.5	15.0	clip_6
230	7	25.5	14.0	56.0	42.0	36.0	clip_7
270	10	0.0	2.0	98.0	98.0	69.0	clip_8
316	9	36.0	26.0	63.5	38.0	26.5	clip_9
360	8	37.0	23.5	63.5	42.0	57.5	clip_10
420	10	6.5	0.0	80.0	9.5	75.0	clip_11
466	8	37.0	16.0	66.0	42.5	38.0	clip_12
493	8	50.0	19.5	73.0	39.5	30.0	clip_13
525	9	37.0	16.0	69.0	23.0	23.0	clip_14
559	5	50.0	15.0	58.5	43.0	24.0	clip_15
576	8	3.5	3.5	60.5	12.0	17.0	clip_16
590	4	29.5	12.5	58.0	18.0	11.0	clip_17
628	8	11.5	11.5	61.0	34.5	12.0	clip_18
653	5	41.5	15.0	52.0	45.0	17.0	clip_19
670	6	39.0	16.0	61.5	27.5	27.5	clip_20
689	3	26.0	12.0	41.0	16.5	10.5	clip_21
721	6	0.0	5.0	71.5	23.5	22.0	clip_22
737	5	50.0	12.0	36.0	20.5	37.5	clip_23
766	8	4.0	4.0	77.0	12.0	12.0	clip_24
