onset	duration	PleasantOther	Smile	Attention	AtEase	Stomach	trial
27	7	5.5	5.5	37.5	8.0	39.0	clip_1
55	6	48.0	7.5	49.5	27.0	27.0	clip_2
80	8	6.0	6.0	47.0	12.0	32.0	clip_3
103	6	40.5	13.5	49.0	36.5	12.5	clip_4
135	8	10.5	10.5	40.5	17.5	17.5	clip_5
184	6	0.0	2.0	53.0	20.0	8.0	clip_6
224	8	30.0	1.0	52.5	31.0	14.5	clip_7
251	10	13.5	3.0	42.0	24.0	62.0	clip_8
282	8	50.0	18.0	46.5	29.5	8.0	clip_9
316	5	50.0	24.0	45.0	53.0	13.0	clip_10
354	8	41.0	8.5	48.0	37.0	23.5	clip_11
372	6	39.5	6.0	64.0	34.5	1.5	clip_12
405	5	0.0	0.0	71.0	14.0	80.5	clip_13
442	7	13.0	2.5	56.5	16.5	67.5	clip_14
485	5	3.0	0.0	44.0	27.0	33.0	clip_15
