onset	duration	PleasantOther	Smile	Attention	AtEase	Stomach	trial
6	5	50.0	8.0	53.0	40.0	11.5	clip_1
29	5	50.0	33.5	48.5	40.5	10.0	clip_2
60	6	61.5	22.5	54.5	41.0	5.0	clip_3
82	7	50.0	30.0	53.5	41.0	6.0	clip_4
113	6	20.0	10.5	66.5	36.0	27.0	clip_5
134	6	0.0	0.0	64.0	18.0	13.5	clip_6
166	9	2.0	2.0	54.5	29.5	18.5	clip_7
196	8	32.5	24.5	55.5	32.0	15.0	clip_8
239	8	43.5	12.5	76.5	24.5	19.5	clip_9
267	9	13.0	4.5	69.5	11.0	31.5	clip_10
307	10	11.0	2.5	73.5	21.5	26.0	clip_11
352	8	12.5	2.0	68.0	14.0	23.0	clip_12
392	6	1.5	1.5	76.5	22.5	40.5	clip_13
405	7	7.5	0.0	77.0	25.5	51.5	clip_14
443	8	4.5	4.5	70.0	23.0	23.0	clip_15
507	9	27.5	3.5	64.5	37.5	37.5	clip_16
532	7	13.0	7.5	58.5	58.5	20.0	clip_17
570	7	28.5	5.5	28.0	28.5	8.0	clip_18
598	9	6.5	0.0	54.5	34.0	5.0	clip_19
645	8	35.0	2.5	62.5	42.5	22.0	clip_20
674	5	28.0	12.0	12.0	12.0	12.5	clip_21
707	9	0.0	0.0	63.0	34.5	12.0	clip_22
740	7	34.5	3.5	57.5	34.5	12.5	clip_23
776	10	0.5	0.0	63.5	24.0	22.5	clip_24
803	5	8.0	0.0	71.5	36.0	24.5	clip_25
829	7	15.5	8.5	36.5	32.0	22.5	clip_26
864	6	5.0	3.0	57.5	28.0	23.5	clip_27
910	8	6.5	6.5	80.5	25.5	42.5	clip_28
955	10	8.5	8.5	60.0	36.5	12.5	clip_29
972	7	14.0	14.0	69.5	28.5	9.0	clip_30
986	6	4.5	0.0	72.5	44.0	8.5	clip_31
