onset	duration	Attention	Standards	Care	Alert	Urgency	trial
16	5	65.5	65.5	9.5	22.0	6.5	clip_1
48	8	63.5	63.5	10.5	24.0	6.5	clip_2
68	4	63.0	63.0	8.5	28.0	6.5	clip_3
94	7	64.0	64.5	8.5	25.0	8.0	clip_4
116	4	62.5	64.0	9.0	23.5	7.5	clip_5
165	7	62.0	62.0	9.5	24.0	8.5	clip_6
196	6	67.5	67.5	10.5	25.5	25.5	clip_7
232	10	63.5	63.5	21.5	25.5	23.0	clip_8
285	5	68.5	68.5	15.5	8.0	34.0	clip_9
307	7	85.0	85.0	14.5	4.0	76.0	clip_10
355	10	86.0	86.0	15.5	4.5	66.0	clip_11
384	9	86.0	86.0	17.5	6.5	79.5	clip_12
