onset	duration	Attention	Standards	Care	Alert	Urgency	trial
27	7	75.5	75.5	10.5	24.0	4.5	clip_1
55	6	80.0	80.0	10.5	23.0	6.5	clip_2
80	8	76.5	76.5	9.0	23.5	5.5	clip_3
103	6	79.0	79.0	8.5	24.5	7.0	clip_4
135	8	78.5	78.5	9.0	22.0	7.0	clip_5
184	6	79.0	79.0	10.5	26.5	73.0	clip_6
224	8	80.0	80.0	8.5	24.5	67.5	clip_7
251	10	76.5	76.5	13.0	28.5	28.5	clip_8
282	8	72.0	72.0	14.0	24.5	9.0	clip_9
316	5	79.5	79.5	9.0	23.5	7.0	clip_10
354	8	87.0	87.0	8.0	26.5	25.0	clip_11
372	6	88.0	88.0	9.5	28.0	23.0	clip_12
405	5	86.5	85.0	10.5	23.5	80.5	clip_13
442	7	87.0	87.0	11.5	23.5	79.0	clip_14
485	5	83.0	82.5	13.0	24.5	23.5	clip_15
