onset	duration	Attention	Standards	Care	Alert	Urgency	trial
6	5	65.5	65.5	14.0	25.0	11.0	clip_1
29	5	61.5	61.5	14.0	23.0	10.0	clip_2
60	6	67.0	67.0	15.5	26.5	52.5	clip_3
82	7	60.5	60.5	13.5	21.0	60.5	clip_4
113	6	61.0	61.0	13.0	20.5	62.5	clip_5
134	6	57.5	57.5	24.0	24.0	54.5	clip_6
166	9	60.0	60.0	49.0	25.5	72.5	clip_7
196	8	60.0	60.0	51.5	25.0	72.5	clip_8
239	8	60.0	60.0	51.0	22.5	48.5	clip_9
267	9	60.5	60.5	27.5	25.0	13.0	clip_10
307	10	56.5	56.5	10.5	10.5	10.5	clip_11
352	8	57.0	57.0	15.5	19.5	9.0	clip_12
392	6	60.0	60.0	50.0	50.0	52.5	clip_13
405	7	60.0	60.0	50.0	27.5	27.5	clip_14
443	8	56.5	56.5	49.0	32.0	53.0	clip_15
507	9	57.0	57.0	49.0	33.5	12.5	clip_16
532	7	57.0	57.0	48.0	31.0	13.5	clip_17
570	7	57.0	57.0	48.5	32.5	12.0	clip_18
598	9	56.5	56.5	28.0	28.0	13.5	clip_19
645	8	58.0	58.0	32.5	29.0	11.5	clip_20
674	5	57.5	57.5	29.0	29.0	12.0	clip_21
707	9	58.5	58.5	27.0	30.0	13.0	clip_22
740	7	61.5	61.5	35.0	30.0	11.0	clip_23
776	10	57.0	57.0	19.5	27.0	9.0	clip_24
803	5	68.5	68.5	21.5	25.0	11.5	clip_25
829	7	61.0	61.0	16.0	26.5	8.5	clip_26
864	6	60.5	60.5	19.5	24.5	10.0	clip_27
910	8	60.5	60.5	25.5	32.0	7.5	clip_28
955	10	64.0	64.0	14.5	33.0	9.0	clip_29
972	7	60.5	60.5	14.0	29.5	11.0	clip_30
986	6	61.0	61.0	21.0	14.5	11.0	clip_31
