onset	duration	Fear	Standards	Bad	Strong	AtEase	trial
15	6	77.0	70.0	12.5	54.5	6.0	clip_1
38	6	82.0	25.0	80.5	9.0	0.0	clip_2
94	5	57.5	80.5	11.5	0.0	73.5	clip_3
160	8	11.0	95.5	61.0	21.0	51.0	clip_4
190	6	5.0	99.5	0.0	79.0	91.5	clip_5
225	7	23.5	98.0	1.0	65.0	87.0	clip_6
265	7	0.0	63.0	0.0	98.0	81.5	clip_7
298	7	90.0	74.0	99.0	30.0	20.5	clip_8
371	7	91.0	74.5	15.0	33.5	68.5	clip_9
420	5	95.5	15.0	67.0	3.5	8.0	clip_10
452	6	15.5	46.5	40.0	52.0	16.0	clip_11
510	6	28.0	55.5	35.5	15.5	9.0	clip_12
536	6	90.5	33.5	81.5	11.5	1.5	clip_13
575	7	98.5	0.0	100.0	1.0	1.0	clip_14
593	7	90.5	7.0	100.0	13.0	0.0	clip_15
633	7	84.5	62.0	90.5	4.5	0.0	clip_16
663	7	16.0	100.0	100.0	12.5	19.0	clip_17
706	7	21.5	72.0	98.0	40.5	33.0	clip_18
