onset	duration	Fear	Standards	Bad	Strong	AtEase	trial
27	7	3.0	80.0	0.0	14.0	74.0	clip_1
55	6	0.0	85.0	0.0	0.0	58.5	clip_2
80	8	16.0	83.0	60.5	3.0	49.0	clip_3
103	6	10.0	0.0	71.0	18.5	18.5	clip_4
135	8	10.0	48.0	48.0	7.0	35.5	clip_5
184	6	0.0	48.0	48.0	0.0	52.5	clip_6
224	8	31.0	17.5	75.5	12.5	35.0	clip_7
251	10	8.0	63.0	18.5	18.5	18.5	clip_8
282	8	22.0	46.5	30.5	0.5	56.5	clip_9
316	5	21.0	40.5	0.0	6.0	61.5	clip_10
354	8	62.5	62.5	74.0	0.0	49.5	clip_11
372	6	12.5	43.0	9.5	9.5	9.5	clip_12
405	5	87.0	10.5	91.0	8.0	0.0	clip_13
442	7	95.0	8.0	84.0	94.0	4.0	clip_14
485	5	4.5	52.0	77.5	9.0	54.0	clip_15
