onset	duration	Fear	Standards	Bad	Strong	AtEase	trial
30	6	13.0	87.0	0.0	53.0	45.5	clip_1
50	7	16.0	89.5	14.0	55.5	58.5	clip_2
71	5	8.5	56.5	17.0	59.5	40.5	clip_3
98	10	12.0	31.5	47.5	0.0	51.0	clip_4
128	5	4.5	81.0	10.5	50.0	39.0	clip_5
152	7	56.5	35.0	67.0	6.0	6.0	clip_6
195	8	1.0	1.0	82.0	6.0	6.0	clip_7
221	9	10.0	24.5	37.0	8.0	8.0	clip_8
255	5	4.0	53.5	35.5	7.5	7.5	clip_9
298	10	32.5	72.5	38.5	6.0	84.5	clip_10
336	4	8.5	82.0	17.5	17.5	78.5	clip_11
350	9	14.5	51.0	15.0	43.0	27.5	clip_12
376	9	68.5	59.0	21.5	0.0	48.0	clip_13
428	10	22.0	63.0	30.0	2.5	77.5	clip_14
455	4	17.0	75.5	4.0	48.5	0.0	clip_15
484	8	13.5	66.0	13.5	1.5	47.0	clip_16
510	10	11.5	75.5	19.0	7.5	29.0	clip_17
532	8	10.5	94.5	9.0	52.5	0.0	clip_18
553	7	59.5	31.5	51.0	0.5	19.5	clip_19
582	8	22.0	65.0	8.5	0.0	24.5	clip_20
