onset	duration	Attention	Frown	Satisfaction	Agent	PleasantOther	trial
2	6	59.5	21.0	52.0	81.5	48.0	clip_1
23	5	64.5	50.5	54.0	58.0	54.0	clip_2
66	6	50.0	55.5	50.5	50.5	44.5	clip_3
85	7	67.0	35.5	49.0	49.0	17.5	clip_4
106	6	64.5	59.5	43.0	43.0	33.5	clip_5
124	6	61.5	56.5	67.0	69.5	69.5	clip_6
148	6	59.5	65.5	62.5	63.0	55.0	clip_7
170	10	68.0	68.0	36.0	55.5	51.0	clip_8
195	10	74.0	51.5	59.5	89.0	13.0	clip_9
238	8	71.5	54.0	51.5	47.0	47.0	clip_10
264	8	71.0	92.0	46.5	5.0	0.0	clip_11
294	9	81.0	93.5	49.5	12.5	0.0	clip_12
335	8	95.0	100.0	7.5	48.0	0.0	clip_13
359	5	83.0	83.0	57.0	88.0	0.0	clip_14
395	6	69.0	52.5	55.0	70.0	0.0	clip_15
