onset	duration	Attention	Frown	Satisfaction	Agent	PleasantOther	trial
16	5	83.0	24.0	51.5	78.5	48.0	clip_1
48	8	76.0	22.5	77.5	89.0	56.0	clip_2
68	4	26.0	67.5	37.0	52.0	52.0	clip_3
94	7	64.0	45.5	68.0	64.0	86.5	clip_4
116	4	63.0	57.0	49.0	68.0	50.5	clip_5
165	7	65.5	59.0	29.0	52.0	23.0	clip_6
196	6	53.0	61.5	57.5	30.5	30.5	clip_7
232	10	54.0	62.0	51.0	59.5	21.0	clip_8
285	5	12.0	71.0	23.0	20.0	52.0	clip_9
307	7	3.5	93.0	6.0	52.0	0.0	clip_10
355	10	0.0	93.0	3.0	50.0	5.5	clip_11
384	9	0.0	93.5	3.0	51.0	0.0	clip_12
