onset	duration	Attention	Frown	Satisfaction	Agent	PleasantOther	trial
9	4	65.0	33.0	73.5	64.5	50.5	clip_1
37	8	69.0	69.0	67.0	77.0	52.5	clip_2
58	4	87.0	60.0	66.0	75.0	57.0	clip_3
80	4	66.0	47.0	51.0	54.5	47.5	clip_4
104	10	61.0	61.0	60.5	48.0	25.0	clip_5
134	7	73.5	58.5	58.5	62.5	37.5	clip_6
155	5	44.5	44.5	27.0	58.0	49.5	clip_7
188	6	60.0	57.0	58.5	82.5	44.5	clip_8
209	8	63.5	75.0	69.0	90.0	73.0	clip_9
237	8	57.0	48.5	44.5	77.5	52.0	clip_10
279	9	39.5	52.5	37.0	84.5	34.5	clip_11
307	5	41.5	62.5	42.0	78.5	48.5	clip_12
358	6	38.5	64.5	34.5	75.5	27.5	clip_13
374	9	35.5	83.0	19.5	27.0	20.0	clip_14
395	9	66.5	66.5	32.0	64.5	25.0	clip_15
432	8	10.5	90.0	13.0	27.5	15.0	clip_16
488	5	4.0	96.0	8.5	37.5	20.0	clip_17
512	8	59.0	43.5	57.5	77.0	60.0	clip_18
535	5	40.0	65.5	33.0	73.0	69.0	clip_19
576	6	27.5	84.0	3.0	52.0	70.5	clip_20
