onset	duration	Attention	Frown	Satisfaction	Agent	PleasantOther	trial
19	5	44.5	66.5	31.0	54.0	15.0	clip_1
60	6	78.5	8.0	84.5	57.5	67.0	clip_2
95	5	70.0	84.5	25.0	70.0	7.5	clip_3
131	5	79.5	51.5	51.5	51.0	51.0	clip_4
147	6	42.5	59.5	38.0	70.0	38.5	clip_5
176	6	75.5	24.5	76.5	88.5	88.5	clip_6
210	5	50.0	74.0	29.5	77.5	30.5	clip_7
233	5	76.5	22.5	64.0	79.0	59.0	clip_8
255	7	80.0	9.0	85.0	71.0	23.5	clip_9
286	6	85.5	63.0	54.5	30.5	26.0	clip_10
343	5	68.0	55.5	45.0	64.5	64.5	clip_11
385	8	64.5	55.0	35.5	77.0	42.0	clip_12
412	8	87.0	82.5	14.0	16.0	0.0	clip_13
465	7	50.0	58.0	28.0	12.0	0.0	clip_14
518	6	70.0	18.0	71.0	71.0	50.0	clip_15
555	5	94.0	43.0	43.0	20.5	71.0	clip_16
594	7	74.0	62.5	57.5	29.0	50.0	clip_17
611	7	76.5	76.5	85.5	87.5	85.5	clip_18
633	7	87.0	68.0	29.5	19.5	0.0	clip_19
666	4	81.5	61.0	25.5	14.0	0.0	clip_20
701	9	79.0	61.5	29.0	52.5	16.0	clip_21
740	8	50.0	83.0	23.0	43.5	43.5	clip_22
778	9	96.5	100.0	5.5	10.5	0.0	clip_23
799	7	93.5	81.5	0.0	0.0	0.0	clip_24
839	5	90.0	60.0	21.0	0.0	0.0	clip_25
894	6	82.5	44.0	23.0	18.5	2.0	clip_26
962	7	89.0	97.5	0.0	21.5	0.0	clip_27
1002	8	79.0	85.5	0.0	0.0	0.0	clip_28
1022	5	95.5	100.0	0.0	0.0	0.0	clip_29
