onset	duration	Attention	Frown	Satisfaction	Agent	PleasantOther	trial
1	5	43.0	65.0	49.5	88.0	0.0	clip_1
26	5	46.5	73.0	38.5	61.0	0.0	clip_2
51	6	70.0	51.0	63.5	76.0	89.5	clip_3
65	6	66.5	69.5	82.5	82.5	82.5	clip_4
99	9	42.0	62.0	62.0	72.0	38.5	clip_5
132	8	83.0	65.5	73.0	49.0	47.0	clip_6
210	8	45.0	56.0	36.5	100.0	0.0	clip_7
240	9	47.5	54.0	50.5	50.5	50.5	clip_8
263	5	47.5	58.0	36.0	65.5	50.5	clip_9
296	9	39.0	54.0	34.0	34.0	68.5	clip_10
328	6	60.0	50.0	73.0	64.5	77.5	clip_11
376	8	40.0	62.5	34.5	72.5	72.5	clip_12
393	11	50.0	59.0	54.5	34.5	34.5	clip_13
422	9	75.0	75.0	29.0	72.5	0.0	clip_14
466	5	42.0	62.5	38.5	95.5	11.0	clip_15
535	8	50.0	60.0	42.5	43.0	43.0	clip_16
551	8	61.5	66.0	29.5	85.0	0.0	clip_17
574	6	91.0	56.5	71.0	77.5	0.0	clip_18
599	7	67.5	23.5	66.0	55.0	71.0	clip_19
641	8	60.0	18.0	84.0	36.5	85.5	clip_20
