onset	duration	Urgency	Tears	Anger	Eyebrows	Throat	trial
4	5	13.0	0.0	0.0	6.0	0.0	clip_1
44	6	22.0	22.0	0.0	0.0	0.0	clip_2
71	6	0.0	0.0	0.0	0.0	0.0	clip_3
118	8	0.0	0.0	0.0	0.0	0.0	clip_4
142	7	50.0	50.0	50.0	50.0	0.0	clip_5
168	5	0.0	0.0	0.0	0.0	0.0	clip_6
201	8	0.0	0.0	0.0	0.0	0.0	clip_7
232	6	0.0	0.0	0.0	0.0	0.0	clip_8
267	8	0.0	0.0	0.0	0.0	0.0	clip_9
308	7	0.0	0.0	0.0	0.0	0.0	clip_10
341	10	0.0	0.0	0.0	0.0	0.0	clip_11
404	9	0.0	0.0	0.0	0.0	0.0	clip_12
440	8	9.0	0.0	0.0	4.5	6.0	clip_13
473	7	0.0	0.0	0.0	0.0	0.0	clip_14
510	9	0.0	0.0	0.0	0.0	0.0	clip_15
547	4	0.0	0.0	0.0	0.0	0.0	clip_16
596	9	14.5	0.0	0.0	5.5	5.5	clip_17
638	6	22.0	0.0	0.0	0.0	6.0	clip_18
662	5	0.0	0.0	0.0	0.0	0.0	clip_19
690	8	10.0	0.0	0.0	0.0	4.0	clip_20
720	7	22.0	0.0	13.0	0.0	7.0	clip_21
750	8	0.0	0.0	0.0	0.0	0.0	clip_22
777	5	0.0	0.0	0.0	0.0	0.0	clip_23
799	5	1.5	0.0	0.0	0.0	0.0	clip_24
