onset	duration	Urgency	Tears	Anger	Eyebrows	Throat	trial
30	6	16.0	16.0	0.0	0.0	2.5	clip_1
50	7	0.0	0.0	0.0	0.0	0.0	clip_2
71	5	0.0	0.0	0.0	0.0	0.0	clip_3
98	10	0.0	0.0	0.0	0.0	0.0	clip_4
128	5	32.0	0.0	0.0	0.0	0.0	clip_5
152	7	27.5	0.0	12.0	0.0	0.0	clip_6
195	8	0.0	0.0	54.5	0.0	0.0	clip_7
221	9	0.0	0.0	0.0	0.0	0.0	clip_8
255	5	50.0	50.0	0.0	0.0	0.0	clip_9
298	10	0.0	0.0	0.0	0.0	0.0	clip_10
336	4	0.0	0.0	0.0	0.0	0.0	clip_11
350	9	0.0	0.0	0.0	0.0	0.0	clip_12
376	9	18.5	0.0	0.0	0.0	0.0	clip_13
428	10	0.0	0.0	32.5	0.0	0.0	clip_14
455	4	50.0	0.0	0.0	0.0	0.0	clip_15
484	8	50.0	6.5	0.0	0.0	0.0	clip_16
510	10	25.0	0.0	0.0	0.0	0.0	clip_17
532	8	0.0	0.0	0.0	0.0	0.0	clip_18
553	7	22.5	0.0	0.0	0.0	0.0	clip_19
582	8	0.0	0.0	0.0	0.0	0.0	clip_20
