onset	duration	Fear	Guilt	Oppose	Calm	Agent	trial
15	9	0.0	8.5	0.0	100.0	47.0	clip_1
35	5	0.0	0.0	0.0	100.0	47.0	clip_2
63	6	0.0	0.0	0.0	63.0	46.5	clip_3
116	7	39.5	0.0	15.0	79.0	51.0	clip_4
162	8	13.0	13.0	7.0	90.0	48.5	clip_5
185	7	0.0	0.0	0.0	77.5	50.0	clip_6
203	5	0.0	0.0	13.5	97.5	47.0	clip_7
248	7	0.0	0.0	20.5	100.0	80.5	clip_8
286	8	0.0	0.0	61.5	88.5	50.5	clip_9
333	7	5.5	0.0	59.5	60.5	52.0	clip_10
360	7	4.5	0.0	77.0	88.0	51.0	clip_11
383	7	0.0	0.0	0.0	67.0	51.5	clip_12
412	6	29.5	0.0	92.5	100.0	50.0	clip_13
470	9	0.0	0.0	75.0	100.0	51.5	clip_14
517	6	0.5	7.5	87.5	100.0	50.5	clip_15
543	7	0.0	14.5	81.5	96.5	51.5	clip_16
584	8	18.0	28.5	93.0	98.5	49.0	clip_17
627	6	4.5	0.5	70.0	82.0	51.0	clip_18
648	6	0.0	6.0	64.5	97.0	51.5	clip_19
694	7	0.0	0.0	4.5	99.0	50.5	clip_20
743	8	0.0	0.0	0.0	100.0	49.0	clip_21
785	7	0.0	0.0	0.0	100.0	49.5	clip_22
801	6	0.0	0.0	0.0	100.0	50.5	clip_23
