onset	duration	Fear	Guilt	Oppose	Calm	Agent	trial
4	5	19.5	0.0	0.0	91.5	47.5	clip_1
44	6	64.5	67.5	80.0	17.5	99.5	clip_2
71	6	0.0	0.0	0.0	100.0	50.0	clip_3
118	8	0.0	0.0	0.0	100.0	48.5	clip_4
142	7	0.0	0.0	0.0	100.0	50.5	clip_5
168	5	0.0	0.0	0.0	100.0	48.5	clip_6
201	8	0.0	0.0	0.0	100.0	49.5	clip_7
232	6	36.5	0.0	25.5	66.5	51.5	clip_8
267	8	46.0	21.5	36.5	59.5	52.0	clip_9
308	7	0.0	0.0	0.0	100.0	49.0	clip_10
341	10	0.0	0.0	12.0	63.0	50.0	clip_11
404	9	0.0	0.0	0.0	66.0	49.0	clip_12
440	8	0.0	0.0	0.0	100.0	48.5	clip_13
473	7	0.0	0.0	0.0	100.0	51.0	clip_14
510	9	0.0	0.0	0.0	100.0	51.0	clip_15
547	4	0.0	0.0	0.0	52.5	51.0	clip_16
596	9	37.0	12.5	0.0	100.0	51.5	clip_17
638	6	60.0	15.5	35.5	57.0	64.5	clip_18
662	5	19.5	10.5	76.5	77.5	81.5	clip_19
690	8	28.0	41.5	63.5	64.0	49.5	clip_20
720	7	23.5	10.0	63.5	84.5	50.0	clip_21
750	8	24.0	5.5	52.0	100.0	53.5	clip_22
777	5	0.0	27.5	87.0	100.0	53.0	clip_23
799	5	0.0	74.5	92.0	64.5	47.5	clip_24
